,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
643,Burger King,"310 east beach boulevard, long beach, ms, 39560, us",6.49,2.79,3.89,11.69,3.39,ms,39560,Harrison
644,Burger King,"623 second street, manchester, nh, 03102, us",8.59,2.49,3.69,13.69,3.99,nh,3102,Hillsborough
645,Burger King,"28 portsmouth ave, stratham, nh, 03885, us",8.19,2.79,4.59,13.09,4.29,nh,3885,Rockingham
646,Burger King,"85 tunnel road, asheville, nc, 28805, us",6.6,2.45,3.79,9.3,3.79,nc,28805,Buncombe
647,Burger King,"344 eastern blvd, fayetteville, nc, 28301, us",6.6,2.45,3.79,9.3,3.79,nc,28301,Cumberland
648,Burger King,"2820 bragg boulevard, fayetteville, nc, 28303, us",6.6,2.45,3.79,9.3,3.79,nc,28303,Cumberland
649,Burger King,"1200 west club boulevard, durham, nc, 27701, us",7.39,2.59,4.49,13.09,3.69,nc,27701,Durham
650,Burger King,"1601 hwy 55, durham, nc, 27707, us",6.99,3.49,3.2,11.39,2.63,nc,27707,Durham
651,Burger King,"1821 n pointe dr, durham, nc, 27705, us",,,,,,nc,27705,Durham
652,Burger King,"1821 n pointe drive, durham, nc, 27705, us",,,,,,nc,27705,Durham
653,Burger King,"201 e franklin st, chapel hill, nc, 27514, us",,,,,,nc,27514,Orange
654,Burger King,"2100 peters creek pkwy, winston salem, nc, 27127, us",6.99,2.69,4.4,9.55,3.79,nc,27127,Forsyth
655,Burger King,"696 hanes mall blvd, winston salem, nc, 27103, us",6.99,2.69,4.4,9.55,3.79,nc,27103,Forsyth
656,Burger King,"310 east trade street, charlotte, nc, 28202, us",6.2,2.29,4.65,13.89,3.49,nc,28202,Mecklenburg
657,Burger King,"16800 caldwell creek drive, huntersville, nc, 28078, us",6.6,2.45,3.79,9.3,3.79,nc,28078,Mecklenburg
658,Burger King,"819 south 3rd street, wilmington, nc, 28401, us",6.99,2.69,4.4,9.55,3.79,nc,28401,New Hanover
659,Burger King,"2241 avent ferry road, raleigh, nc, 27606, us",7.39,2.59,4.49,13.09,3.69,nc,27606,Wake
660,Burger King,"1828 rock quarry road, raleigh, nc, 27610, us",6.89,2.39,3.89,12.59,3.59,nc,27610,Wake
661,Burger King,"3215 wake forest rd, raleigh, nc, 27609, us",,,,,3.38,nc,27609,Wake
662,Burger King,"191 north east twelfth street, norman, ok, 73071, us",6.89,2.69,3.39,11.79,3.69,ok,73071,Cleveland
663,Burger King,"245 bayshore blvd., san francisco, ca, 94124, us",8.29,4.09,5.29,15.29,4.19,ca,94124,San Francisco
664,Burger King,"3900 geary boulevard, san francisco, ca, 94118, us",10.26,2.89,4.89,17.93,5.97,ca,94118,San Francisco
665,Burger King,"1563 n peoria avenue, tulsa, ok, 74106, us",6.29,2.39,3.29,10.99,3.29,ok,74106,Tulsa
666,Burger King,"3242 east 11th street, tulsa, ok, 74104, us",6.29,2.39,3.29,10.99,3.29,ok,74104,Tulsa
667,Burger King,"1432 s peoria ave, tulsa, ok, 74120, us",,,,,3.01,ok,74120,Tulsa
668,Burger King,"1533 n. peoria, tulsa, ok, 74106, us",,,,,,ok,74106,Tulsa
669,Burger King,"3130 south memorial drive, tulsa, ok, 74145, us",,,,,2.49,ok,74145,Tulsa
670,Burger King,"121 walmart drive, north versailles, pa, 15137, us",7.19,2.79,4.19,13.29,,pa,15137,Allegheny
671,Burger King,"3220 library rd., castle shannon, pa, 15234, us",6.74,2.49,3.99,12.48,3.74,pa,15234,Allegheny
672,Burger King,"2900 brownsville road, pittsburgh, pa, 15227, us",6.74,2.49,3.99,12.48,3.74,pa,15227,Allegheny
