menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Bacon Double Cheeseburger,$3.99,440 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Bacon Cheeseburger,$2.99,340 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Double Cheeseburger,$2.99,400 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Cheeseburger,$2.29,290 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Rodeo Burger,$2.29,340 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Hamburger,$1.99,250 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Have-sies™,$2.79,380 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
French Fries,$2.79,370 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
Onion Rings,$2.79,360 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
12 Pc. Chicken Fries,$4.99,340 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
8 Pc. Chicken Fries,$3.99,220 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
12 Pc. Mozzarella Fries,$4.99,730 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
8 Pc. Mozzarella Fries,$3.79,480 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
4 Pc. Mozzarella Fries,$1.99,240 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
4 Pc. Chicken Fries,$1.99,110 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
16 Pc. Chicken Nuggets,$3.99,770 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
8 Pc. Chicken Nuggets,$2.49,390 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
4 Pc. Chicken Nuggets,$1.79,190 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
MOTTS Applesauce,$1.69,50 cal,"2119 East 23rd Street, Chattanooga, TN, 37404, US",2119 East 23rd Street
