,restaurant_name,restaurant_location,specialty_item,cheeseburger,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,hamburger,wave,uber_eats,fast_food,small,state,zip,ca,county_name
127,Denny,"1745 el camino real, santa clara, ca, 95050, us",19.12,17.56,5.81,4.56,7.16,20,96,4.6000000000000005,17,12.754375000000001,,1,1,0,0,ca,95050,1,Santa Clara
128,Denny,"1515 ocean st., santa cruz, ca, 95060, us",17.35,17.46,5.29,4.66,6.64,26,100,4.399999999999999,16,11.9648,,1,1,0,0,ca,95060,1,Santa Cruz
129,Denny,"304 pittman rd, cordelia, ca, 94534, us",17.77,17.35,5.08,4.46,6.95,42,188,4.3999999999999995,11,11.813297872340424,,1,1,0,0,ca,94534,1,Solano
130,Denny,"1360 holiday lane, fairfield, ca, 94534, us",19.12,17.56,5.81,4.56,7.16,21,104,4.3999999999999995,30,12.752019230769232,,1,1,0,0,ca,94534,1,Solano
131,Denny,"1701 e. monte vista ave, vacaville, ca, 95688, us",17.98,17.56,5.18,4.56,6.95,25,93,4.2,16,11.826451612903227,,1,1,0,0,ca,95688,1,Solano
132,Denny,"1507 herndon rd., ceres, ca, 95307, us",17.98,17.77,5.08,4.56,6.95,22,97,2.899999999999999,14,11.652371134020619,,1,1,0,0,ca,95307,1,Stanislaus
133,Denny,"110 mchenry st., modesto, ca, 95354, us",17.35,17.46,5.29,4.66,6.64,22,96,0.0,6,11.902812500000001,,1,1,0,0,ca,95354,1,Stanislaus
134,Denny,"2332 south mooney, visalia, ca, 93277, us",16.73,16.42,5.29,4.46,6.74,28,103,4.5,17,11.385631067961166,,1,1,0,0,ca,93277,1,Tulare
135,Denny,"200 s akers st, visalia, ca, 93291, us",16.73,16.42,5.29,4.46,6.74,25,94,4.8,20,11.349042553191488,,1,1,0,0,ca,93291,1,Tulare
136,Denny,"795 e prosperity ave, tulare, ca, 93274, us",16.73,16.42,5.29,4.46,6.74,24,94,4.7,15,11.096382978723403,,1,1,0,0,ca,93274,1,Tulare
137,Denny,"1635 glendale ave., hanford, ca, 93230, us",16.73,16.42,5.29,4.46,6.74,25,97,4.5,17,11.279484536082476,,1,1,0,0,ca,93230,1,Kings
138,Denny,"2511 n ventura rd, port hueneme, ca, 93041, us",17.35,17.25,5.08,4.56,6.95,21,90,4.399999999999999,18,11.758888888888889,,1,1,0,0,ca,93041,1,Ventura
139,Denny,"1659 e dailey dr, camarillo, ca, 93010, us",17.04,16.21,5.29,4.46,6.74,23,96,4.700000000000001,24,11.158541666666666,,1,1,0,0,ca,93010,1,Ventura
140,Denny,"327 south palm avenue, santa paula, ca, 93060, us",17.09,16.69,4.89,4.29,6.69,28,96,5.0,11,11.069166666666666,,1,1,0,0,ca,93060,1,Ventura
141,Applebee,"2263 south shore center, alameda, ca, 94501, us",19.19,16.69,5.79,2.49,3.79,70,714,4.3999999999999995,67,13.862549019607844,,1,1,0,0,ca,94501,1,Alameda
142,Applebee,"2770 taylor st, san francisco, ca, 94133, us",24.19,22.89,6.29,2.49,8.29,56,808,4.399999999999999,29,18.229603960396037,,1,1,0,0,ca,94133,1,San Francisco
143,Applebee,"1369 fitzgerald drive, pinole, ca, 94564, us",17.89,16.69,5.79,2.49,3.49,32,800,4.5,53,13.348999999999998,,1,1,0,0,ca,94564,1,Contra Costa
