,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
2668,Burger King,"1900 north oregon street, el paso, tx, 79902, us",7.03,3.06,3.83,12.53,3.7,,,11,94,4.399999999999998,160+,7.88063829787234,2,1,1,0,tx,79902,El Paso,0
2669,Burger King,"2809 gateway west, el paso, tx, 79903, us",7.03,3.06,3.83,12.53,3.7,,,11,94,4.600000000000002,500+,7.88063829787234,2,1,1,0,tx,79903,El Paso,0
2670,Burger King,"5531 alameda avenue, el paso, tx, 79905, us",6.9,2.93,3.83,12.28,3.57,,,11,94,4.7,130+,7.790425531914895,2,1,1,0,tx,79905,El Paso,0
2671,Burger King,"6085 montana, el paso, tx, 79925, us",7.03,3.06,3.83,12.53,3.7,,,11,94,4.5,490+,7.88063829787234,2,1,1,0,tx,79925,El Paso,0
2672,Burger King,"5400 dyer street, el paso, tx, 79904, us",7.03,3.06,3.83,12.53,3.7,,,11,94,4.5,700+,7.880638297872341,2,1,1,0,tx,79904,El Paso,0
2673,Burger King,"2316 scott st, houston, tx, 77004, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.299999999999999,430+,7.450749999999999,2,1,1,0,tx,77004,Harris,0
2674,Burger King,"3730 scott street, houston, tx, 77004, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.200000000000001,480+,7.450749999999999,2,1,1,0,tx,77004,Harris,0
2675,Burger King,"4639 irvington, houston, tx, 77009, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.399999999999998,800+,7.486382978723404,2,1,1,0,tx,77009,Harris,0
2676,Burger King,"3009 collingsworth st, houston, tx, 77026, us",6.89,2.39,3.19,11.59,3.09,,,12,94,3.8000000000000003,700+,7.486382978723404,2,1,1,0,tx,77026,Harris,0
2677,Burger King,"1040 north shepherd, houston, tx, 77008, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.5,700+,7.486382978723404,2,1,1,0,tx,77008,Harris,0
2678,Burger King,"5115 kirby drive, houston, tx, 77098, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.600000000000002,800+,7.486382978723404,2,1,1,0,tx,77098,Harris,0
2679,Burger King,"3034 marina bay drive, league city, tx, 77573, us",6.55,1.69,3.59,11.09,3.25,,,15,93,4.7,430+,7.083010752688172,2,1,1,0,tx,77573,Galveston,0
2680,Burger King,"4898 west main street, league city, tx, 77573, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.600000000000002,480+,7.486382978723404,2,1,1,0,tx,77573,Galveston,0
2681,Burger King,"5651 fm 646 rd w, dickinson, tx, 77539, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.200000000000001,290+,7.450749999999999,2,1,1,0,tx,77539,Galveston,0
2682,Burger King,"535 eldorado boulevard, webster, tx, 77598, us",6.89,2.39,3.39,11.69,3.19,,,10,80,4.5,800+,7.425749999999999,2,1,1,0,tx,77598,Harris,0
2683,Burger King,"10991 scarsdale boulevard, houston, tx, 77089, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.5,390+,7.486382978723404,2,1,1,0,tx,77089,Harris,0
2684,Burger King,"1316-a southmore, pasadena, tx, 77502, us",6.89,2.39,3.39,11.69,3.19,,,11,94,4.5,500+,7.465106382978724,2,1,1,0,tx,77502,Harris,0
2685,Burger King,"1621 spencer hwy, south houston, tx, 77587, us",6.89,2.39,3.19,11.59,3.09,,,11,80,4.5,450+,7.450749999999999,2,1,1,0,tx,77587,Harris,0
2686,Burger King,"5475 fairmont parkway, pasadena, tx, 77505, us",8.03,3.59,4.19,13.07,3.59,,,10,74,4.600000000000001,260+,8.336486486486484,2,1,1,0,tx,77505,Harris,0
2687,Burger King,"1301 center street, deer park, tx, 77536, us",6.89,2.39,3.19,11.59,3.09,,,12,94,4.600000000000002,270+,7.486382978723404,2,1,1,0,tx,77536,Harris,0
2688,Burger King,"1154 edgebrook drive, houston, tx, 77034, us",8.03,3.59,4.19,13.07,3.59,,,6,60,4.600000000000002,500+,8.544,2,1,1,0,tx,77034,Harris,0
2689,Burger King,"1101 s 10th st, mcallen, tx, 78501, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.799999999999999,75,7.594624999999999,2,1,1,0,tx,78501,Hidalgo,0
2690,Burger King,"6425 phelan boulevard, beaumont, tx, 77706, us",6.89,2.39,3.39,11.89,3.39,,,9,80,4.0,320+,7.454499999999999,2,1,1,0,tx,77706,Jefferson,0
2691,Burger King,"6135 eastex freeway #2, beaumont, tx, 77706, us",6.89,2.39,3.39,11.89,3.39,,,9,80,4.0,400+,7.4545,2,1,1,0,tx,77706,Jefferson,0
2692,Burger King,"605 north main street, vidor, tx, 77662, us",6.89,2.39,3.39,11.89,3.39,,,10,94,4.3,99,7.489574468085106,2,1,1,0,tx,77662,Orange,0
2693,Burger King,"3619, nederland, tx, 77627, us",6.89,2.39,3.39,11.89,3.39,,,10,94,4.100000000000002,290+,7.489574468085106,2,1,1,0,tx,77627,Jefferson,0
2694,Burger King,"112 s lhs drive, lumberton, tx, 77657, us",6.89,2.39,3.39,11.89,3.39,,,10,94,4.3,75,7.489574468085106,2,1,1,0,tx,77657,Hardin,0
2695,Burger King,"3301 twin city highway, port arthur, tx, 77642, us",6.89,2.39,3.39,11.89,3.39,,,9,80,4.200000000000001,170+,7.454499999999999,2,1,1,0,tx,77642,Jefferson,0
2696,Burger King,"1804 4th street, lubbock, tx, 79415, us",7.74,2.36,3.74,12.74,3.49,,,12,80,4.0,260+,7.594624999999999,2,1,1,0,tx,79415,Lubbock,0
2697,Burger King,"2002 50th street, lubbock, tx, 79412, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.2,480+,7.558617021276595,2,1,1,0,tx,79412,Lubbock,0
2698,Burger King,"7006 university avenue, lubbock, tx, 79413, us",7.74,2.36,3.74,12.74,3.49,,,15,94,4.399999999999998,260+,7.558617021276595,2,1,1,0,tx,79413,Lubbock,0
