,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
89,Denny,"2077 n 1st st, san jose, ca, 95131, us",12.779629629629627,12.100000000000001,8.573261396571137,4.5,276,470+,6.54,17.98,,,,ca,95131,Santa Clara,2024-05-14,1,1,0,0
90,Denny,"2401 lanai ave., san jose, ca, 95122, us",12.255555555555558,11.370000000000001,7.572301418025572,4.3,138,600+,6.02,17.56,,,,ca,95122,Santa Clara,2024-05-14,1,1,0,0
91,Denny,"2484 berryessa rd., san jose, ca, 95133, us",12.255555555555558,11.370000000000001,7.572301418025572,4.5,138,800+,6.02,17.56,,,,ca,95133,Santa Clara,2024-05-14,1,1,0,0
92,Denny,"250 fairgrounds dr, vallejo, ca, 94589, us",12.779629629629627,12.100000000000001,8.573261396571136,4.5,276,380+,6.54,17.98,,,,ca,94589,Solano,2024-05-14,1,1,0,0
93,Denny,"4355 sonoma blvd., vallejo, ca, 94589, us",12.779629629629623,12.100000000000001,8.573261396571134,4.4,276,210+,6.54,17.98,,,,ca,94589,Solano,2024-05-14,1,1,0,0
94,Denny,"2511 n ventura rd, port hueneme, ca, 93041, us",12.347319587628874,11.11,7.350149800768691,4.4,122,440+,5.81,17.98,,,,ca,93041,Ventura,2024-05-14,1,1,0,0
95,Denny,"2526, san pablo, ca, 94806, us",12.132803738317735,10.07,7.3773540572969,4.2,411,800+,5.81,18.29,,,,ca,94806,Contra Costa,2024-05-14,1,1,0,0
96,Denny,"2830 camino del rios n, newbury park, ca, 91320, us",11.68820754716981,10.02,6.867850972159495,4.6,136,500+,5.81,16.52,,,,ca,91320,Ventura,2024-05-14,1,1,0,0
97,Denny,"2920 s. norfolk, san mateo, ca, 94403, us",12.408787878787868,12.46,7.384446837537576,4.5,258,450+,6.02,17.46,,,,ca,94403,San Mateo,2024-05-14,1,1,0,0
98,Denny,"30163 industrial, hayward, ca, 94544, us",12.249722222222225,11.370000000000001,7.580545575295737,4.5,138,800+,6.02,17.56,,,,ca,94544,Alameda,2024-05-14,1,1,0,0
