,menu_item,price,calories,address
212,4 PC. Spicy Chicken Nuggets,1.69,190,"2080 Sparkman Drive, Huntsville, AL, 35810, US"
213,Pretzel Baconator®,8.69,"1,050","6102 University Dr Nw, Huntsville, AL, 35806, US"
214,Dave's Single®,5.79,590,"6102 University Dr Nw, Huntsville, AL, 35806, US"
215,Dave's Double®,6.79,860,"6102 University Dr Nw, Huntsville, AL, 35806, US"
216,Dave's Triple®,7.79,"1,160","6102 University Dr Nw, Huntsville, AL, 35806, US"
217,Baconator®,7.69,960,"6102 University Dr Nw, Huntsville, AL, 35806, US"
218,Son of Baconator®,5.99,630,"6102 University Dr Nw, Huntsville, AL, 35806, US"
219,Big Bacon Classic®,6.39,650,"6102 University Dr Nw, Huntsville, AL, 35806, US"
220,Big Bacon Classic® Double,7.39,910,"6102 University Dr Nw, Huntsville, AL, 35806, US"
221,Big Bacon Classic Triple,8.39,"1,220","6102 University Dr Nw, Huntsville, AL, 35806, US"
222,Bacon Double Stack,3.69,440,"6102 University Dr Nw, Huntsville, AL, 35806, US"
223,Jr. Bacon Cheeseburger,3.19,370,"6102 University Dr Nw, Huntsville, AL, 35806, US"
224,Jr. Cheeseburger Deluxe,2.49,340,"6102 University Dr Nw, Huntsville, AL, 35806, US"
225,Jr. Cheeseburger,1.99,290,"6102 University Dr Nw, Huntsville, AL, 35806, US"
226,Double Stack™,3.19,410,"6102 University Dr Nw, Huntsville, AL, 35806, US"
227,Jr. Hamburger,1.59,250,"6102 University Dr Nw, Huntsville, AL, 35806, US"
228,French Fries,1.79-2.99,210-470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
229,Baconator Fries,3.69,460,"6102 University Dr Nw, Huntsville, AL, 35806, US"
230,Chili Cheese Fries,3.69,520,"6102 University Dr Nw, Huntsville, AL, 35806, US"
231,Cheese Fries,2.69,470,"6102 University Dr Nw, Huntsville, AL, 35806, US"
