,menu_item,menu_item_price,menu_item_calories,restaurant_address
2698,4 Pc. Chicken Nuggets,1.79,190,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2699,12 Pc. Chicken Fries,4.99,340,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2700,8 Pc. Chicken Fries,4.29,220,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2701,4 Pc. Chicken Fries,1.99,110,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2702,Big Fish,6.59,570,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2703,Chicken Jr.,2.59,440,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2704,Fiery Buffalo Royal Crispy Wrap,2.99,360,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2705,Royal Crispy Wrap,2.99,310,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2706,Fiery Royal Crispy Wrap,2.99,390,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2707,Honey Mustard Royal Crispy Wrap,2.99,290,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2708,Tacos,2.19,420,"2015 Mission Street, Santa Cruz, CA, 95060, US"
2709,Whopper Meals,12.89,"1,390","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2710,Texas Double Whopper Meals,15.49,"1,810","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2711,Double Whopper Meals,14.19,"1,640","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2712,Impossible Whopper Meals,13.89,"1,350","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2713,Bacon King Meals,13.89,"1,920","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2714,Whopper Jr Meals,8.89,"1,050","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2715,Royal Crispy Chicken Meals,10.29,"1,300","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2716,Spicy Royal Crispy Chicken Meals,10.79,"1,460","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2717,Bacon &amp; Swiss Royal Crispy Chicken Meals,11.79,"1,370","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2718,Original Chicken Sandwich Meals,10.19,"1,380","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2719,Big Fish Meals,11.79,"1,290","1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2720,Royal Crispy Chicken,5.29,600,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2721,Fiery Royal Crispy Chicken,5.79,760,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2722,Bacon and Swiss Royal Crispy Chicken,6.79,740,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2723,Original Chicken Sandwich,5.19,680,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2724,8 Pc. Fiery Buffalo Nuggets,2.99,510,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2725,16 Pc. Chicken Nuggets,4.98,770,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2726,8 Pc. Chicken Nuggets,2.99,390,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2727,4 Pc. Chicken Nuggets,1.79,190,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2728,12 Pc. Chicken Fries,4.99,340,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2729,8 Pc. Chicken Fries,4.29,220,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2730,4 Pc. Chicken Fries,1.99,110,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2731,Big Fish,6.59,570,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2732,Chicken Jr.,2.59,440,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2733,Fiery Buffalo Royal Crispy Wrap,2.99,360,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2734,Royal Crispy Wrap,2.99,310,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2735,Fiery Royal Crispy Wrap,2.99,390,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2736,Honey Mustard Royal Crispy Wrap,2.99,290,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2737,Tacos,2.19,420,"1302 Soquel Avenue, Santa Cruz, CA, 95062, US"
2738,Whopper,7.69,670,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2739,Impossible™ Whopper,8.59,630,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2740,Texas Double Whopper,10.69,"1,090","3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2741,Double Whopper,9.09,920,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2742,Triple Whopper ,10.09,"1,170","3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2743,Bacon King,10.19,"1,200","3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2744,BBQ Bacon Whopper Jr.,4.59,390,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2745,Whopper Jr.,4.29,330,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2746,Bacon Double Cheeseburger,4.79,440,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2747,Bacon Cheeseburger,3.79,340,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2748,Double Cheeseburger,3.99,400,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2749,Cheeseburger,3.19,290,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2750,Rodeo Burger,3.19,340,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2751,Hamburger,2.79,250,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2752,Have-sies™,3.89,380,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2753,French Fries,3.79,370,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2754,Onion Rings,3.99,360,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2755,12 Pc. Chicken Fries,7.19,340,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2756,8 Pc. Chicken Fries,4.89,220,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2757,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2758,4 Pc. Chicken Fries,2.69,110,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2759,16 Pc. Chicken Nuggets,5.99,770,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2760,8 Pc. Chicken Nuggets,2.99,390,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2761,4 Pc. Chicken Nuggets,1.49,190,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2762,MOTTS Applesauce,1.79,50,"3606 Sonoma Boulevard, Vallejo, CA, 94590, US"
2763,Whopper,7.89,670,"844 Willow Avenue, Hercules, CA, 94547, US"
2764,Impossible™ Whopper,8.89,630,"844 Willow Avenue, Hercules, CA, 94547, US"
2765,Texas Double Whopper,10.59,"1,090","844 Willow Avenue, Hercules, CA, 94547, US"
2766,Double Whopper,8.99,920,"844 Willow Avenue, Hercules, CA, 94547, US"
2767,Triple Whopper ,10.19,"1,170","844 Willow Avenue, Hercules, CA, 94547, US"
2768,Bacon King,9.19,"1,200","844 Willow Avenue, Hercules, CA, 94547, US"
2769,BBQ Bacon Whopper Jr.,3.89,390,"844 Willow Avenue, Hercules, CA, 94547, US"
2770,Whopper Jr.,3.99,330,"844 Willow Avenue, Hercules, CA, 94547, US"
2771,Bacon Double Cheeseburger,3.99,440,"844 Willow Avenue, Hercules, CA, 94547, US"
2772,Bacon Cheeseburger,3.19,340,"844 Willow Avenue, Hercules, CA, 94547, US"
2773,Double Cheeseburger,3.39,400,"844 Willow Avenue, Hercules, CA, 94547, US"
2774,Cheeseburger,2.59,290,"844 Willow Avenue, Hercules, CA, 94547, US"
2775,Rodeo Burger,2.59,340,"844 Willow Avenue, Hercules, CA, 94547, US"
2776,Hamburger,2.19,250,"844 Willow Avenue, Hercules, CA, 94547, US"
2777,Have-sies™,4.59,380,"844 Willow Avenue, Hercules, CA, 94547, US"
2778,French Fries,4.59,370,"844 Willow Avenue, Hercules, CA, 94547, US"
2779,Onion Rings,4.59,360,"844 Willow Avenue, Hercules, CA, 94547, US"
2780,12 Pc. Chicken Fries,4.99,340,"844 Willow Avenue, Hercules, CA, 94547, US"
2781,8 Pc. Chicken Fries,4.19,220,"844 Willow Avenue, Hercules, CA, 94547, US"
2782,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"844 Willow Avenue, Hercules, CA, 94547, US"
2783,4 Pc. Chicken Fries,1.99,110,"844 Willow Avenue, Hercules, CA, 94547, US"
2784,16 Pc. Chicken Nuggets,4.98,770,"844 Willow Avenue, Hercules, CA, 94547, US"
2785,8 Pc. Chicken Nuggets,2.79,390,"844 Willow Avenue, Hercules, CA, 94547, US"
2786,4 Pc. Chicken Nuggets,1.79,190,"844 Willow Avenue, Hercules, CA, 94547, US"
2787,MOTTS Applesauce,2.19,50,"844 Willow Avenue, Hercules, CA, 94547, US"
2788,Tacos,3.09,420,"844 Willow Avenue, Hercules, CA, 94547, US"
2789,Whopper,6.99,670,"190 Pittman Road, Suisun City, CA, 94534, US"
2790,Texas Double Whopper,9.19,"1,090","190 Pittman Road, Suisun City, CA, 94534, US"
2791,Double Whopper,8.29,920,"190 Pittman Road, Suisun City, CA, 94534, US"
2792,Triple Whopper ,9.29,"1,170","190 Pittman Road, Suisun City, CA, 94534, US"
2793,Bacon King,8.59,"1,200","190 Pittman Road, Suisun City, CA, 94534, US"
2794,BBQ Bacon Whopper Jr.,3.89,390,"190 Pittman Road, Suisun City, CA, 94534, US"
2795,Whopper Jr.,3.99,330,"190 Pittman Road, Suisun City, CA, 94534, US"
2796,Bacon Double Cheeseburger,4.29,440,"190 Pittman Road, Suisun City, CA, 94534, US"
2797,Bacon Cheeseburger,3.39,340,"190 Pittman Road, Suisun City, CA, 94534, US"
2798,Double Cheeseburger,3.49,400,"190 Pittman Road, Suisun City, CA, 94534, US"
2799,Cheeseburger,2.59,290,"190 Pittman Road, Suisun City, CA, 94534, US"
2800,Rodeo Burger,2.59,340,"190 Pittman Road, Suisun City, CA, 94534, US"
2801,Hamburger,2.19,250,"190 Pittman Road, Suisun City, CA, 94534, US"
2802,Have-sies™,3.49,380,"190 Pittman Road, Suisun City, CA, 94534, US"
2803,French Fries,3.79,370,"190 Pittman Road, Suisun City, CA, 94534, US"
2804,Onion Rings,3.79,360,"190 Pittman Road, Suisun City, CA, 94534, US"
2805,12 Pc. Chicken Fries,4.99,340,"190 Pittman Road, Suisun City, CA, 94534, US"
2806,8 Pc. Chicken Fries,4.19,220,"190 Pittman Road, Suisun City, CA, 94534, US"
2807,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"190 Pittman Road, Suisun City, CA, 94534, US"
2808,4 Pc. Chicken Fries,1.99,110,"190 Pittman Road, Suisun City, CA, 94534, US"
2809,16 Pc. Chicken Nuggets,4.98,770,"190 Pittman Road, Suisun City, CA, 94534, US"
2810,8 Pc. Chicken Nuggets,2.79,390,"190 Pittman Road, Suisun City, CA, 94534, US"
2811,4 Pc. Chicken Nuggets,1.79,190,"190 Pittman Road, Suisun City, CA, 94534, US"
2812,MOTTS Applesauce,1.69,50,"190 Pittman Road, Suisun City, CA, 94534, US"
2813,Tacos,2.19,420,"190 Pittman Road, Suisun City, CA, 94534, US"
2814,Whopper,6.99,670,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2815,Texas Double Whopper,9.19,"1,090","1260 Anderson Drive, Suisun City, CA, 94585, US"
2816,Double Whopper,8.29,920,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2817,Triple Whopper ,9.29,"1,170","1260 Anderson Drive, Suisun City, CA, 94585, US"
2818,Bacon King,8.59,"1,200","1260 Anderson Drive, Suisun City, CA, 94585, US"
2819,BBQ Bacon Whopper Jr.,3.89,390,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2820,Whopper Jr.,3.99,330,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2821,Bacon Double Cheeseburger,4.29,440,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2822,Bacon Cheeseburger,3.39,340,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2823,Double Cheeseburger,3.49,400,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2824,Cheeseburger,2.59,290,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2825,Rodeo Burger,2.59,340,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2826,Hamburger,2.19,250,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2827,Have-sies™,3.49,380,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2828,French Fries,3.79,370,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2829,Onion Rings,3.79,360,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2830,12 Pc. Chicken Fries,4.99,340,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2831,8 Pc. Chicken Fries,4.19,220,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2832,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2833,4 Pc. Chicken Fries,1.99,110,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2834,16 Pc. Chicken Nuggets,4.98,770,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2835,8 Pc. Chicken Nuggets,2.79,390,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2836,4 Pc. Chicken Nuggets,1.79,190,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2837,MOTTS Applesauce,1.69,50,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2838,Tacos,2.19,420,"1260 Anderson Drive, Suisun City, CA, 94585, US"
2839,Whopper,7.49,670,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2840,Texas Double Whopper,9.99,"1,090","2005 Huntington Drive, Fairfield, CA, 94533, US"
2841,Double Whopper,8.49,920,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2842,Triple Whopper ,9.59,"1,170","2005 Huntington Drive, Fairfield, CA, 94533, US"
2843,Bacon King,9.29,"1,200","2005 Huntington Drive, Fairfield, CA, 94533, US"
2844,BBQ Bacon Whopper Jr.,4.99,390,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2845,Whopper Jr.,4.49,330,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2846,Bacon Double Cheeseburger,4.19,440,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2847,Bacon Cheeseburger,3.49,340,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2848,Double Cheeseburger,3.89,400,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2849,Cheeseburger,2.99,290,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2850,Rodeo Burger,2.99,340,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2851,Hamburger,2.69,250,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2852,Have-sies™,3.59,380,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2853,French Fries,3.89,370,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2854,Onion Rings,3.89,360,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2855,12 Pc. Chicken Fries,6.69,340,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2856,8 Pc. Chicken Fries,4.79,220,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2857,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2858,4 Pc. Chicken Fries,2.29,110,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2859,16 Pc. Chicken Nuggets,5.99,770,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2860,8 Pc. Chicken Nuggets,2.99,390,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2861,4 Pc. Chicken Nuggets,1.49,190,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2862,Mozzarella Sticks,2.99,330,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2863,MOTTS Applesauce,1.79,50,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2864,Tacos,3.0,420,"2005 Huntington Drive, Fairfield, CA, 94533, US"
2865,Whopper,7.29,670,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2866,Impossible™ Whopper,8.19,630,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2867,Texas Double Whopper,9.29,"1,090","56 Mission Circle, Santa Rosa, CA, 95409, US"
2868,Double Whopper,8.29,920,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2869,Triple Whopper ,9.29,"1,170","56 Mission Circle, Santa Rosa, CA, 95409, US"
2870,Bacon King,9.29,"1,200","56 Mission Circle, Santa Rosa, CA, 95409, US"
2871,BBQ Bacon Whopper Jr.,4.49,390,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2872,Whopper Jr.,4.09,330,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2873,Bacon Double Cheeseburger,4.19,440,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2874,Bacon Cheeseburger,3.69,340,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2875,Double Cheeseburger,3.99,400,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2876,Cheeseburger,3.29,290,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2877,Rodeo Burger,3.29,340,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2878,Hamburger,2.49,250,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2879,Have-sies™,3.49,380,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2880,French Fries,3.79,370,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2881,Onion Rings,3.79,360,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2882,12 Pc. Chicken Fries,5.49,340,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2883,8 Pc. Chicken Fries,4.29,220,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2884,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2885,4 Pc. Chicken Fries,1.99,110,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2886,16 Pc. Chicken Nuggets,4.98,770,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2887,8 Pc. Chicken Nuggets,2.99,390,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2888,4 Pc. Chicken Nuggets,1.5,190,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2889,Mozzarella Sticks,2.99,330,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2890,MOTTS Applesauce,1.99,50,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2891,Tacos,2.0,420,"56 Mission Circle, Santa Rosa, CA, 95409, US"
2892,Whopper,7.59,670,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2893,Impossible™ Whopper,8.59,630,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2894,Texas Double Whopper,10.19,"1,090","741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2895,Double Whopper,8.89,920,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2896,Triple Whopper ,9.89,"1,170","741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2897,Bacon King,8.99,"1,200","741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2898,BBQ Bacon Whopper Jr.,3.89,390,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2899,Whopper Jr.,3.99,330,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2900,Bacon Double Cheeseburger,4.29,440,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2901,Bacon Cheeseburger,3.49,340,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2902,Double Cheeseburger,3.49,400,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2903,Cheeseburger,2.59,290,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2904,Rodeo Burger,2.59,340,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2905,Hamburger,1.99,250,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2906,Have-sies™,3.79,380,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2907,French Fries,3.79,370,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2908,Onion Rings,3.79,360,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2909,12 Pc. Chicken Fries,4.99,340,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2910,8 Pc. Chicken Fries,4.19,220,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2911,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2912,4 Pc. Chicken Fries,1.99,110,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2913,8 Pc. Chicken Nuggets,2.79,390,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2914,4 Pc. Chicken Nuggets,1.79,190,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2915,MOTTS Applesauce,1.69,50,"741 Stony Point Road, SANTA ROSA, CA, 95407-6864, US"
2916,Whopper,7.29,670,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2917,Impossible™ Whopper,8.19,630,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2918,Texas Double Whopper,9.29,"1,090","2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2919,Double Whopper,8.29,920,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2920,Triple Whopper ,9.29,"1,170","2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2921,Bacon King,9.29,"1,200","2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2922,BBQ Bacon Whopper Jr.,4.49,390,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2923,Whopper Jr.,4.09,330,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2924,Bacon Double Cheeseburger,4.19,440,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2925,Bacon Cheeseburger,3.69,340,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2926,Double Cheeseburger,3.99,400,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2927,Cheeseburger,3.29,290,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2928,Rodeo Burger,3.29,340,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2929,Hamburger,2.49,250,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2930,Have-sies™,3.49,380,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2931,French Fries,3.79,370,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2932,Onion Rings,3.79,360,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2933,12 Pc. Chicken Fries,5.49,340,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2934,8 Pc. Chicken Fries,4.29,220,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2935,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2936,4 Pc. Chicken Fries,1.99,110,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2937,16 Pc. Chicken Nuggets,4.98,770,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2938,8 Pc. Chicken Nuggets,2.99,390,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2939,4 Pc. Chicken Nuggets,1.5,190,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2940,Mozzarella Sticks,2.99,330,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2941,MOTTS Applesauce,1.99,50,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2942,Tacos,2.0,420,"2542 Guerneville Road, Santa Rosa, CA, 95401, US"
2943,Whopper,7.59,670,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2944,Impossible™ Whopper,8.59,630,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2945,Texas Double Whopper,10.19,"1,090","5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2946,Double Whopper,8.89,920,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2947,Triple Whopper ,9.89,"1,170","5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2948,Bacon King,8.99,"1,200","5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2949,BBQ Bacon Whopper Jr.,3.89,390,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2950,Whopper Jr.,3.99,330,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2951,Bacon Double Cheeseburger,4.29,440,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2952,Bacon Cheeseburger,3.49,340,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2953,Double Cheeseburger,3.49,400,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2954,Cheeseburger,2.59,290,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2955,Rodeo Burger,2.59,340,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2956,Hamburger,1.99,250,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2957,Have-sies™,3.79,380,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2958,French Fries,3.79,370,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2959,Onion Rings,3.79,360,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2960,12 Pc. Chicken Fries,4.99,340,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2961,8 Pc. Chicken Fries,4.19,220,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2962,8 Pc. Fiery Buffalo Nuggets	,2.99,510,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2963,4 Pc. Chicken Fries,1.99,110,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2964,16 Pc. Chicken Nuggets,4.98,770,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2965,8 Pc. Chicken Nuggets,2.79,390,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2966,4 Pc. Chicken Nuggets,1.79,190,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2967,MOTTS Applesauce,1.69,50,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2968,Tacos,2.19,420,"5020 Redwood Drive, Rohnert Park, CA, 94928, US"
2969,Whopper,7.59,670,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2970,Impossible™ Whopper,8.59,630,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2971,Texas Double Whopper,10.19,"1,090","6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2972,Double Whopper,8.89,920,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2973,Triple Whopper ,9.89,"1,170","6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2974,Bacon King,8.99,"1,200","6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2975,BBQ Bacon Whopper Jr.,3.89,390,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2976,Whopper Jr.,3.99,330,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2977,Bacon Double Cheeseburger,4.29,440,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
2978,Bacon Cheeseburger,3.49,340,"6125 Commerce Boulevard, Rohnert Park, CA, 94928, US"
