,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
192,Buffalo Wild Wings,"2015 birch rd ste 715, chula vista, ca, 91915, us",9.048700000000007,7.54,9.963721258144465,4.3,108,1,5.99,16.29,,,,ca,91915,San Diego,2024-05-14,1,1,0,0
193,Buffalo Wild Wings,"24542 hesperian blvd, hayward, ca, 94545, us",9.065445544554464,7.29,9.996000341201082,3.9,110,1,5.99,16.29,,,,ca,94545,Alameda,2024-05-14,1,1,0,0
194,Applebee,"24041 southland dr, hayward, ca, 94545, us",25.091377410468255,17.89,25.308304439152664,4.5,366,1,,16.69,15.39,,,ca,94545,Alameda,2024-05-14,1,1,0,0
195,Denny,"25010 hesperian boulevard, hayward, ca, 94545, us",12.260370370370376,11.370000000000001,7.565852492409554,4.3,138,300+,6.02,17.56,,,,ca,94545,Alameda,2024-05-14,1,1,0,0
196,Buffalo Wild Wings,"254 town center pkwy., santee, ca, 92071, us",9.048700000000007,7.54,9.963721258144465,4.2,108,1,5.99,16.29,,,,ca,92071,San Diego,2024-05-14,1,1,0,0
197,Buffalo Wild Wings,"25401 crenshaw boulevard, torrance, ca, 90505, us",9.232127659574475,7.640000000000001,10.263276702133387,4.3,103,900+,7.29,16.79,,,,ca,90505,Los Angeles,2024-05-14,1,1,0,0
198,Buffalo Wild Wings,"2670 tuscany st, corona, ca, 92881, us",8.966224489795925,6.74,10.149798079353364,4.4,105,600+,5.99,16.49,,,,ca,92881,Riverside,2024-05-14,1,1,0,0
199,Buffalo Wild Wings,"2685 vista way, oceanside, ca, 92054, us",9.048700000000007,7.54,9.963721258144465,4.3,108,1,5.99,16.29,,,,ca,92054,San Diego,2024-05-14,1,1,0,0
200,Applebee,"2146 vista way, oceanside, ca, 92054, us",21.699649122807003,17.14,21.85243962171604,4.6,115,800+,,17.29,15.99,,,ca,92054,San Diego,2024-05-14,1,1,0,0
201,Denny,"487 harbor dr., oceanside, ca, 92054, us",12.193699999999993,9.5,7.492620323358178,4.7,130,280+,5.81,18.29,,,,ca,92054,San Diego,2024-05-14,1,1,0,0
202,Buffalo Wild Wings,"2796 naglee road, tracy, ca, 95304, us",9.402105263157903,8.99,10.04806898387492,4.2,104,420+,5.99,16.29,,,,ca,95304,San Joaquin,2024-05-14,1,1,0,0
203,Applebee,"3060 n. naglee road, tracy, ca, 95304, us",22.92157894736838,19.39,20.451231317923284,4.2,117,270+,,18.79,17.49,,,ca,95304,San Joaquin,2024-05-14,1,1,0,0
204,Buffalo Wild Wings,"3065 e. shaw ave, fresno, ca, 93726, us",9.044646464646476,7.79,9.792560288107747,4.2,108,1,5.99,15.99,,,,ca,93726,Fresno,2024-05-14,1,1,0,0
205,Buffalo Wild Wings,"309 madonna rd, san luis obispo, ca, 93405, us",9.100306122448991,7.54,10.045484664822656,4.3,106,800+,5.99,15.99,,,,ca,93405,San Luis Obispo,2024-05-14,1,1,0,0
206,Denny,"208 madonna rd., san luis obispo, ca, 93405, us",11.87296296296296,10.175,7.167640277439739,4.4,138,600+,5.81,17.56,,,,ca,93405,San Luis Obispo,2024-05-14,1,1,0,0
