,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
85,Burger King,"3100 highland road, baton rouge, la, 70802, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70802,East Baton Rouge,2024-05-16,0,1,1,0,East Baton Rouge
86,Burger King,"3112 e berry st, fort worth, tx, 76119, us",3.471818181818182,2.59,2.0627217302969196,,66,,1.89,2.79,6.19,2.99,,tx,76119,Tarrant,2024-05-16,0,1,1,0,Tarrant
87,Burger King,"3204 southeast loop 820, forest hill, tx, 76140, us",5.430740740740743,3.99,3.457869099685877,,54,,1.89,2.79,6.19,2.99,,tx,76140,Tarrant,2024-05-16,0,1,1,0,Tarrant
88,Burger King,"3219 s 27th st, milwaukee, wi, 53215, us",5.714074074074079,4.04,3.7428408296365636,,54,,2.29,3.29,6.89,3.99,,wi,53215,Milwaukee,2024-05-16,0,1,1,0,Milwaukee
89,Burger King,"3220 library rd., castle shannon, pa, 15234, us",5.381886792452833,4.29,3.2593951612795786,,53,,2.09,2.99,5.59,3.19,,pa,15234,Allegheny,2024-05-16,0,1,1,0,Allegheny
90,Burger King,"3242 east 11th street, tulsa, ok, 74104, us",5.010000000000002,3.99,2.9610702519590846,,54,,1.99,2.79,5.19,2.79,,ok,74104,Tulsa,2024-05-16,0,1,1,0,Tulsa
91,Burger King,"3348 clays mill road, lexington, ky, 40503, us",4.888039215686277,3.79,2.840083552766965,,51,,1.99,2.99,5.19,2.79,,ky,40503,Fayette,2024-05-16,0,1,1,0,Fayette
92,Burger King,"3401 amnicola highway, chattanooga, tn, 37406, us",3.331791044776123,2.49,1.656299530713631,,67,,2.29,2.79,5.49,3.19,,tn,37406,Hamilton,2024-05-16,0,1,1,0,Hamilton
93,Burger King,"3403 north main street, columbia, sc, 29203, us",5.574800000000003,4.99,3.266551845601108,,50,,2.99,3.29,5.89,3.55,,sc,29203,Richland,2024-05-16,0,1,1,0,Richland
94,Burger King,"3419 north 5th street highway, reading, pa, 19605, us",5.188245614035087,4.19,3.0503661688779515,,57,,2.29,3.49,6.09,3.59,,pa,19605,Berks,2024-05-16,0,1,1,0,Berks
95,Burger King,"344 eastern blvd, fayetteville, nc, 28301, us",4.953157894736841,3.89,2.889341063648733,,57,,1.99,3.09,5.39,3.09,,nc,28301,Cumberland,2024-05-16,0,1,1,0,Cumberland
96,Burger King,"3500 south meridian avenue, wichita, ks, 67217, us",5.818571428571429,4.59,3.2816434409407416,,56,,2.59,3.79,6.59,3.79,,ks,67217,Sedgwick,2024-05-16,0,1,1,0,Sedgwick
97,Burger King,"3801 moss street, lafayette, la, 70507, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70507,Lafayette,2024-05-16,0,1,1,0,Lafayette
98,Burger King,"3900 geary boulevard, san francisco, ca, 94118, us",6.548113207547171,4.59,4.105567345990938,,53,,2.79,4.59,7.99,4.19,,ca,94118,San Francisco,2024-05-16,0,1,1,0,San Francisco
99,Burger King,"3949 government boulevard, mobile, al, 36693, us",3.8630769230769224,2.99,1.9665584331531865,,26,,2.29,2.79,5.39,3.19,,al,36693,Mobile,2024-05-16,0,1,1,0,Mobile
100,Burger King,"4004 rainbow boulevard, kansas city, ks, 66103, us",5.936428571428573,4.6899999999999995,3.4104861554222037,,56,,2.59,3.79,6.69,3.89,,ks,66103,Wyandotte,2024-05-16,0,1,1,0,Wyandotte
101,Burger King,"4029, riverdale, ut, 84405, us",5.48980392156863,3.99,3.2937763595379823,,51,,2.29,3.29,5.79,3.29,,ut,84405,Weber,2024-05-16,0,1,1,0,Weber
102,Burger King,"409 west ridge pike, conshohocken, pa, 19428, us",5.104705882352944,3.79,3.0651503196617065,,51,,2.49,2.99,5.59,2.99,,pa,19428,Montgomery,2024-05-16,0,1,1,0,Montgomery
103,Burger King,"410 east morris street, indianapolis, in, 46225, us",5.074210526315789,4.19,2.965875479379983,,57,,2.19,3.09,5.69,3.59,,in,46225,Marion,2024-05-16,0,1,1,0,Marion
104,Burger King,"415 east highway 80, pooler, ga, 31322, us",3.886153846153844,2.99,2.0300588792580467,,26,,2.39,2.99,5.89,2.99,,ga,31322,Chatham,2024-05-16,0,1,1,0,Chatham
105,Burger King,"4241 augusta rd, garden city, ga, 31408, us",3.886153846153844,2.99,2.0300588792580467,,26,,2.39,2.99,5.89,2.99,,ga,31408,Chatham,2024-05-16,0,1,1,0,Chatham
106,Burger King,"425 south, el paso, tx, 79901, us",5.267777777777781,4.140000000000001,3.1764566018143348,,54,,2.29,2.79,5.39,2.99,,tx,79901,El Paso,2024-05-16,0,1,1,0,El Paso
107,Burger King,"4410 sunrise rd, round rock, tx, 78665, us",5.153703703703706,4.050000000000001,3.189182698212644,,54,,1.63,2.88,6.04,3.59,,tx,78665,Williamson,2024-05-16,0,1,1,0,Williamson
108,Burger King,"4490 broadway boulevard, monroeville, pa, 15146, us",3.4904838709677417,2.99,1.7530171478646739,,62,,2.19,3.29,5.79,3.39,,pa,15146,Allegheny,2024-05-16,0,1,1,0,Allegheny
109,Burger King,"4520 west commerce, san antonio, tx, 78237, us",3.383548387096775,2.69,1.7335280981321093,,62,,2.19,2.79,5.89,2.79,,tx,78237,Bexar,2024-05-16,0,1,1,0,Bexar
110,Burger King,"4600 fleur dr, des moines, ia, 50321, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50321,Polk,2024-05-16,0,1,1,0,Polk
111,Burger King,"4639 irvington, houston, tx, 77009, us",4.986153846153848,3.99,3.078396281936271,,52,,1.89,2.49,5.49,2.59,,tx,77009,Harris,2024-05-16,0,1,1,0,Harris
112,Burger King,"4701 edgmont ave, brookhaven, pa, 19015, us",5.976538461538464,5.24,3.458769726037205,,52,,2.39,3.29,6.59,4.29,,pa,19015,Delaware,2024-05-16,0,1,1,0,Delaware
113,Burger King,"4709 dorchester road, n charleston, sc, 29405, us",5.396458333333335,3.99,3.4274446807980077,,48,,1.99,2.7,6.2,3.8,,sc,29405,Charleston,2024-05-16,0,1,1,0,Charleston
114,Burger King,"490 loucks road, york, pa, 17404, us",5.299259259259262,3.99,3.174975562374225,,54,,2.49,2.89,5.79,3.29,,pa,17404,York,2024-05-16,0,1,1,0,York
115,Burger King,"493 old hickory blvd, brentwood, tn, 37027, us",3.473064516129032,2.99,1.8142923517926082,,62,,2.19,3.29,5.89,3.69,,tn,37027,Williamson,2024-05-16,0,1,1,0,Williamson
116,Burger King,"501 macdade blvd, holmes, pa, 19036, us",5.188245614035087,4.19,3.0503661688779515,,57,,2.29,3.49,6.09,3.59,,pa,19036,Delaware,2024-05-16,0,1,1,0,Delaware
