,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
122,Wendy,"3155 s padre island dr, corpus christi, tx, 78415, us",3.8496774193548378,3.19,2.2791629531276323,,31,,5.29,2.44,1.59,1.29,,tx,78415,Nueces,2024-05-14,0,1,1,0
123,Wendy,"4105 ayers, corpus christi, tx, 78415, us",3.8496774193548378,3.19,2.2791629531276323,,31,,5.29,2.44,1.59,1.29,,tx,78415,Nueces,2024-05-14,0,1,1,0
124,Wendy,"3200 cu, plano, tx, 75075, us",4.591612903225807,3.99,2.1484609596912336,,31,,5.89,2.74,2.69,2.29,,tx,75075,Collin,2024-05-14,0,1,1,0
125,Wendy,"933 north central expressway, plano, tx, 75075, us",4.591612903225807,3.99,2.1484609596912336,,31,,5.89,2.74,2.69,2.29,,tx,75075,Collin,2024-05-14,0,1,1,0
126,Wendy,"3201 n kings hwy, myrtle beach, sc, 29577, us",3.9674193548387096,3.29,2.04303848311684,,31,,5.29,2.49,1.99,1.69,,sc,29577,Horry,2024-05-14,0,1,1,0
127,Wendy,"3236 ne evangeline trwy, lafayette, la, 70507, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70507,Lafayette,2024-05-14,0,1,1,0
128,Wendy,"3323 e. washington st, indianapolis, in, 46201, us",4.163333333333336,3.34,2.1654765962459366,,30,,5.39,2.59,1.99,1.79,,in,46201,Marion,2024-05-14,0,1,1,0
129,Wendy,"3415 navigation blvd, houston, tx, 77003, us",4.333548387096775,3.59,1.992030166223032,,31,,5.69,2.54,2.49,2.19,,tx,77003,Harris,2024-05-14,0,1,1,0
130,Wendy,"343 folly rd., james island, sc, 29412, us",4.6396875,3.79,2.2174020333137046,,32,,6.29,2.69,1.99,1.69,,sc,29412,Charleston,2024-05-14,0,1,1,0
131,Wendy,"345 valley ave, birmingham, al, 35209, us",4.772258064516128,3.99,2.6675030122756156,,31,,6.19,2.79,2.59,1.99,,al,35209,Jefferson,2024-05-14,0,1,1,0
132,Wendy,"3464 springhill ave, mobile, al, 36608, us",4.512580645161289,3.59,2.4175046688975637,,31,,5.39,2.29,2.39,2.19,,al,36608,Mobile,2024-05-14,0,1,1,0
133,Wendy,"3521 cu, richardson, tx, 75080, us",4.591612903225807,3.99,2.1484609596912336,,31,,5.89,2.74,2.69,2.29,,tx,75080,Dallas,2024-05-14,0,1,1,0
134,Wendy,"3521 edgemont avenue, brookhaven, pa, 19015, us",4.468333333333335,3.54,2.292948732285327,,30,,6.49,2.79,2.29,1.79,,pa,19015,Delaware,2024-05-14,0,1,1,0
