,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,combo,fries,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
35,Hardees,"2165 mana court, rock hill, sc, 29730, us",8.96780821917808,7.61,5.699937333607776,3.7,74,10,5.19,6.4,10.64,1.68,,sc,29730,York,2024-03-28,1,0,1,0
36,Hardees,"228 oxmoor blvd, homewood, al, 35209-4737, us",7.540851063829788,6.06,5.794948214402374,4.3,74,26,5.19,7.25,0.0,2.77,,al,35209,Jefferson,2024-03-28,1,0,1,0
37,Hardees,"2306 w parker rd, greenville, sc, 29617, us",7.4635555555555575,6.76,5.484111659271539,0.0,73,2,4.83,7.61,0.0,2.77,,sc,29617,Greenville,2024-03-28,1,0,1,0
38,Hardees,"2382 old fort pkwy, murfreesboro, tn, 37128, us",6.779795918367347,6.06,5.292074354991515,4.2,79,51,5.07,7.13,0.0,2.77,,tn,37128,Rutherford,2024-03-28,1,0,1,0
39,Hardees,"2450 e layton ave, saint francis, wi, 53235-6045, us",9.92076923076924,9.86,4.922667603176245,4.6,66,25,7.11,7.61,12.74,2.99,,wi,53235,Milwaukee,2024-03-28,1,0,1,0
40,Hardees,"2497 hope mills road, fayetteville, nc, 28304, us",8.155185185185193,7.49,4.388303508390895,0.0,82,5,5.36,6.61,10.99,,,nc,28304,Cumberland,2024-03-28,1,0,1,0
41,Hardees,"2499 augusta rd, west columbia, sc, 29169, us",7.309318181818181,6.04,5.514405266591755,3.8,148,22,4.83,6.04,0.0,2.89,,sc,29169,Lexington,2024-03-28,1,0,1,0
42,Hardees,"2516 bouldercrest drive, atlanta, ga, 30316, us",9.950677966101697,9.54,6.09930139495202,3.5,240,29,6.31,7.3,11.52,3.46,,ga,30316,DeKalb,2024-03-28,1,0,1,0
43,Hardees,"255 s lowry st, smyrna, tn, 37167, us",6.7797959183673475,6.06,5.292074354991514,4.6,79,58,5.07,7.13,0.0,2.77,,tn,37167,Rutherford,2024-03-28,1,0,1,0
44,Hardees,"2909 fern valley road, louisville, ky, 40219, us",10.030298507462689,9.89,6.214860853895391,4.4,68,21,6.59,6.59,10.79,2.89,,ky,40219,Jefferson,2024-03-28,1,0,1,0
45,Hardees,"2919 tazewell pike, knoxville, tn, 37918, us",7.434000000000001,6.76,5.506819368342814,4.4,72,25,5.19,7.61,0.0,2.77,,tn,37918,Knox,2024-03-28,1,0,1,0
46,Hardees,"2930 highway 138 sw, conyers, ga, 30094, us",7.817954545454546,6.885,6.171345653887172,3.8000000000000003,71,30,6.16,7.13,0.0,3.38,,ga,30094,Rockdale,2024-03-28,1,0,1,0
47,Hardees,"2983 s church st, murfreesboro, tn, 37127, us",6.7797959183673475,6.06,5.292074354991514,4.8,79,54,5.07,7.13,0.0,2.77,,tn,37127,Rutherford,2024-03-28,1,0,1,0
48,Hardees,"2990 richmond rd, lexington, ky, 40509, us",9.504029850746276,8.99,5.969599866513092,4.5,68,24,6.49,6.86,11.24,1.99,,ky,40509,Fayette,2024-03-28,1,0,1,0
49,Hardees,"3046 parkway, pigeon forge, tn, 37863, us",7.436666666666667,6.76,5.505291192217821,4.8,72,15,5.19,7.61,0.0,2.77,,tn,37863,Sevier,2024-03-28,1,0,1,0
50,Hardees,"3062 anvil block road, ellenwood, ga, 30294, us",7.817954545454546,6.885,6.171345653887171,4.0,213,44,6.16,7.13,0.0,3.38,,ga,30294,DeKalb,2024-03-28,1,0,1,0
51,Hardees,"3203 wade hampton blvd, taylors, sc, 29687, us",7.578409090909091,7.01,5.49230409638706,4.5,140,15,4.83,7.61,0.0,2.77,,sc,29687,Greenville,2024-03-28,1,0,1,0
52,Hardees,"3803 morganton road, fayetteville, nc, 28314, us",8.155185185185193,7.49,4.388303508390894,4.4,82,11,5.36,6.61,10.99,,,nc,28314,Cumberland,2024-03-28,1,0,1,0
53,Hardees,"3852 rosewood dr, columbia, sc, 29205, us",7.329523809523811,6.04,5.554619249898039,4.4,72,33,4.83,6.04,0.0,2.89,,sc,29205,Richland,2024-03-28,1,0,1,0
54,Hardees,"3912 north duke street, durham, nc, 27704, us",8.246125000000008,7.49,4.341952180111499,4.4,81,19,5.36,6.61,10.99,,,nc,27704,Durham,2024-03-28,1,0,1,0
55,Hardees,"400 s cartwright, goodlettsville, tn, 37072, us",6.7797959183673475,6.06,5.292074354991515,4.7,79,27,5.07,7.13,0.0,2.77,,tn,37072,Davidson,2024-03-28,1,0,1,0
56,Hardees,"4011 s noland rd, independence, mo, 64055, us",9.916333333333343,9.1,6.130783790747222,4.2,61,13,6.56,7.43,11.77,3.58,,mo,64055,Jackson,2024-03-28,1,0,1,0
57,Hardees,"4099 nolensville pike, nashville, tn, 37211, us",6.779795918367344,6.06,5.292074354991513,4.2,158,46,5.07,7.13,0.0,2.77,,tn,37211,Davidson,2024-03-28,1,0,1,0
58,Hardees,"4201 east w.t.harris blvd, charlotte, nc, 28215, us",8.967808219178073,7.61,5.699937333607775,4.3,148,40,5.19,6.4,10.64,1.68,,nc,28215,Mecklenburg,2024-03-28,1,0,1,0
59,Hardees,"4260 legion road, hope mills, nc, 28348, us",8.155185185185195,7.49,4.388303508390894,0.0,82,5,5.36,6.61,10.99,,,nc,28348,Cumberland,2024-03-28,1,0,1,0
60,Hardees,"451 mills ave, greenville, sc, 29605, us",7.4635555555555575,6.76,5.48476319981316,4.3,73,11,5.07,7.61,0.0,2.77,,sc,29605,Greenville,2024-03-28,1,0,1,0
61,Hardees,"4850 floyd road sw, mableton, ga, 30126, us",7.817954545454544,6.885,6.17134565388717,3.8999999999999995,142,21,6.16,7.13,0.0,3.38,,ga,30126,Cobb,2024-03-28,1,0,1,0
62,Hardees,"4945 s emerson ave, indianapolis, in, 46203-5938, us",8.378260869565219,7.205,6.130007200629795,0.0,72,10,6.49,7.79,0.0,3.24,,in,46203,Marion,2024-03-28,1,0,1,0
63,Hardees,"496 piney grove rd, columbia, sc, 29212, us",7.329523809523811,6.04,5.554619249898041,4.6,144,29,4.83,6.04,0.0,2.89,,sc,29212,Lexington,2024-03-28,1,0,1,0
64,Hardees,"508 waldron rd, la vergne, tn, 37086, us",6.7797959183673475,6.06,5.292074354991514,4.4,79,39,5.07,7.13,0.0,2.77,,tn,37086,Rutherford,2024-03-28,1,0,1,0
65,Hardees,"5201 ashley phosphate rd., north charleston, sc, 29418, us",9.770645161290334,9.165,6.016061263996072,4.1,63,16,6.31,7.3,11.52,3.46,,sc,29418,Charleston,2024-03-28,1,0,1,0
