,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
410,Jack in the Box,"1726 bluff ridge drive, syracuse, ut, 84075, us",7.093384615384624,6.24,3.576502708135669,4.0,130,50+,4.61,10.73,3.11,2.99,4.49,ut,84075,Davis,2024-03-29,1,0,1,0
411,Jack in the Box,"17820 w 119th st, olathe, ks, 66061, us",6.763858267716544,6.18,3.528662847556137,3.9,127,32,5.49,10.85,3.49,3.11,3.61,ks,66061,Johnson,2024-03-29,1,0,1,0
412,Jack in the Box,"1818 n foster rd., san antonio, tx, 78244, us",7.508897058823539,7.11,3.840862662137647,4.2,136,130,5.61,11.73,3.74,3.36,4.11,tx,78244,Bexar,2024-03-29,1,0,1,0
413,Jack in the Box,"7720 fm 78, san antonio, tx, 78244, us",7.5008461538461635,6.985,3.892201677638032,4.0,130,93,5.61,11.73,3.74,3.36,4.11,tx,78244,Bexar,2024-03-29,1,0,1,0
414,Jack in the Box,"1936 e oltorf st, austin, tx, 78741, us",8.443333333333337,7.74,4.175593991899259,4.1,135,107,6.24,12.35,4.11,3.74,5.36,tx,78741,Travis,2024-03-29,1,0,1,0
415,Burger King,"2500 e riverside dr, austin, tx, 78741, us",8.160129870129875,7.19,5.708118277405263,4.0,77,76,7.39,12.19,2.69,3.59,3.39,tx,78741,Travis,2024-03-29,1,0,1,0
416,Sonic,"1901 montopolis drive, austin, tx, 78741, us",4.460833333333334,4.01,1.979009818346314,4.0,86,60,8.04,0.0,4.01,,0.0,tx,78741,Travis,2024-03-29,1,0,1,0
417,Jack in the Box,"2085 n. highway 360, grand prairie, tx, 75050, us",6.94720588235295,6.24,3.6540744163146712,4.3,136,74,5.49,11.48,3.11,2.74,4.49,tx,75050,Dallas,2024-03-29,1,0,1,0
418,Jack in the Box,"2181 s sherwood forest blvd, baton rouge, la, 70816, us",7.0550000000000095,6.24,3.5679717069294807,3.5,138,30,5.86,11.23,3.74,3.49,4.11,la,70816,East Baton Rouge,2024-03-29,1,0,1,0
419,Jack in the Box,"2204 west northwest highway, dallas, tx, 75220, us",6.972173913043487,6.24,3.5734130437648064,4.7,138,18,5.49,10.99,3.36,3.11,4.36,tx,75220,Dallas,2024-03-29,1,0,1,0
420,Jack in the Box,"221 richey st, pasadena, tx, 77506, us",6.965735294117656,6.24,3.4520713373518364,4.4,136,31,5.24,10.36,3.24,2.86,4.11,tx,77506,Harris,2024-03-29,1,0,1,0
421,Jack in the Box,"2220 jacksboro highway, ft. worth, tx, 76106, us",6.89735294117648,6.24,3.6188046928294293,4.3,136,72,4.99,10.61,3.74,3.11,3.74,tx,76106,Tarrant,2024-03-29,1,0,1,0
422,Jack in the Box,"2802 n main st, fort worth, tx, 76106, us",6.552878787878796,6.24,3.3907106902989574,4.3,132,75,4.99,9.98,3.24,2.86,3.36,tx,76106,Tarrant,2024-03-29,1,0,1,0
423,Burger King,"2542 ne 30th street, ft. worth, tx, 76106, us",7.922750000000006,5.985,5.943824521089096,4.2,80,21,7.74,12.74,2.36,3.74,3.49,tx,76106,Tarrant,2024-03-29,1,0,1,0
424,Jack in the Box,"2221 w kenosha st, broken arrow, ok, 74012, us",6.575808823529421,5.99,3.2025978781816997,3.8,136,50+,4.49,9.35,3.36,2.99,3.74,ok,74012,Tulsa,2024-03-29,1,0,1,0
425,Jack in the Box,"2424 east international boulevard, oakland, ca, 94601, us",8.195769230769171,7.050000000000001,4.098467981197293,4.3,520,100+,6.49,12.6,3.74,3.61,4.99,ca,94601,Alameda,2024-03-29,1,0,1,0
426,Wendy,"3111 e. 14th street, oakland, ca, 94601, us",6.248363636363634,5.84,2.895376730793963,4.2,186,69,7.92,0.0,2.79,2.18,0.0,ca,94601,Alameda,2024-03-29,1,0,1,0
427,Jack in the Box,"2500 w., irving, tx, 75061, us",6.9350364963503734,6.24,3.6843411248438254,4.5,137,58,5.49,11.48,3.24,2.74,4.49,tx,75061,Dallas,2024-03-29,1,0,1,0
428,Jack in the Box,"502 n. o'connor rd, irving, tx, 75061, us",6.888768115942038,6.24,3.6568635989071834,4.1,138,48,5.49,11.48,3.11,2.74,4.49,tx,75061,Dallas,2024-03-29,1,0,1,0
